word,rank,frequency
the,1,62103
and,2,38847
of,3,34480
to,4,13396
And,5,12846
that,6,12576
in,7,12331
shall,8,9760
he,9,9665
unto,10,8940
I,11,8854
his,12,8385
a,13,7943
for,14,7228
they,15,6970
be,16,6877
is,17,6832
LORD,18,6651
him,19,6649
not,20,6553
them,21,6425
with,22,5961
it,23,5891
all,24,5426
thou,25,4890
was,26,4515
thy,27,4450
which,28,4283
my,29,4135
God,30,4115
me,31,4092
said,32,3995
their,33,3884
have,34,3843
thee,35,3827
will,36,3807
ye,37,3701
from,38,3579
as,39,3261
are,40,2912
were,41,2767
out,42,2751
upon,43,2730
man,44,2721
you,45,2616
Israel,46,2574
by,47,2540
when,48,2485
king,49,2465
this,50,2455
but,51,2434
up,52,2372
hath,53,2239
people,54,2143
son,55,2107
came,56,2091
there,57,2086
had,58,2025
house,59,2023
into,60,2014
her,61,1977
on,62,1969
The,63,1902
come,64,1849
one,65,1847
children,66,1815
s,67,1790
before,68,1775
your,69,1762
For,70,1743
day,71,1740
land,72,1718
an,73,1673
also,74,1665
men,75,1657
against,76,1657
we,77,1643
shalt,78,1613
But,79,1558
at,80,1507
hand,81,1466
us,82,1451
made,83,1405
went,84,1399
saying,85,1390
Then,86,1374
no,87,1343
do,88,1301
even,89,1297
saith,90,1262
go,91,1257
every,92,1178
things,93,1162
our,94,1137
down,95,1125
if,96,1110
after,97,1103
sons,98,1094
let,99,1081
or,100,1068
so,101,1067
Lord,102,1066
O,103,1065
David,104,1064
hast,105,1036
may,106,1024
say,107,1010
make,108,1008
because,109,1006
over,110,1003
these,111,999
earth,112,985
did,113,977
Jesus,114,977
name,115,957
great,116,948
she,117,929
thine,118,916
any,119,912
away,120,910
thereof,121,906
among,122,903
forth,123,888
put,124,881
city,125,868
days,126,867
brought,127,862
am,128,856
father,129,854
Moses,130,852
heart,131,833
two,132,823
pass,133,822
Judah,134,816
Jerusalem,135,814
therefore,136,802
then,137,795
give,138,792
neither,139,776
should,140,768
according,141,762
He,142,754
took,143,749
nor,144,746
whom,145,730
behold,146,730
know,147,729
offering,148,724
place,149,716
take,150,715
now,151,713
good,152,711
word,153,692
who,154,690
more,155,685
sent,156,684
bring,157,678
set,158,676
way,159,664
like,160,656
what,161,650
eat,162,649
Now,163,643
heard,164,641
again,165,629
about,166,628
called,167,624
time,168,623
mine,169,623
So,170,622
