Name of restaurant,City,Country code,Day of week,Start time hour,Start time minute,End time hour,End time minute
1 Abercrombie Lane,Sydney,AU,0,07,30,15,15
1 Abercrombie Lane,Sydney,AU,1,07,30,15,15
1 Abercrombie Lane,Sydney,AU,2,07,30,15,15
1 Abercrombie Lane,Sydney,AU,3,07,30,15,15
1 Abercrombie Lane,Sydney,AU,4,07,30,15,15
#1 Chicken Rice & Seafood,Houston,US,0,10,30,20,20
#1 Chicken Rice & Seafood,Houston,US,1,10,30,20,20
#1 Chicken Rice & Seafood,Houston,US,2,10,30,20,20
#1 Chicken Rice & Seafood,Houston,US,3,10,30,20,20
#1 Chicken Rice & Seafood,Houston,US,4,10,30,20,20
#1 Chicken Rice & Seafood,Houston,US,5,10,30,20,20
#1 Chinese Kitchen,San Jose,US,0,11,00,21,21
#1 Chinese Kitchen,San Jose,US,2,11,00,21,21
#1 Chinese Kitchen,San Jose,US,3,11,00,21,21
#1 Chinese Kitchen,San Jose,US,4,11,00,21,21
#1 Chinese Kitchen,San Jose,US,5,11,00,21,21
#1 Chinese Kitchen,San Jose,US,6,11,00,21,21
10' Custom Pizzeria,Braddon,AU,0,11,30,15,15
10' Custom Pizzeria,Braddon,AU,0,17,30,00,00
10' Custom Pizzeria,Braddon,AU,1,11,30,15,15
10' Custom Pizzeria,Braddon,AU,1,17,30,00,00
10' Custom Pizzeria,Braddon,AU,2,11,30,15,15
10' Custom Pizzeria,Braddon,AU,2,17,30,00,00
10' Custom Pizzeria,Braddon,AU,3,11,30,15,15
10' Custom Pizzeria,Braddon,AU,3,17,30,00,00
10' Custom Pizzeria,Braddon,AU,4,11,30,15,15
10' Custom Pizzeria,Braddon,AU,4,17,30,00,00
10' Custom Pizzeria,Braddon,AU,5,11,30,15,15
10' Custom Pizzeria,Braddon,AU,5,17,30,00,00
10' Custom Pizzeria,Braddon,AU,6,11,30,15,15
10' Custom Pizzeria,Braddon,AU,6,17,30,00,00
10 Greek Street,London,GB,0,12,00,23,23
10 Greek Street,London,GB,1,12,00,23,23
10 Greek Street,London,GB,2,12,00,23,23
10 Greek Street,London,GB,3,12,00,23,23
10 Greek Street,London,GB,4,12,00,23,23
10 Greek Street,London,GB,5,12,00,23,23
10 Greek Street,London,GB,6,17,30,23,23
100% de Agave,Denver,US,0,11,00,22,22
100% de Agave,Denver,US,1,11,00,22,22
100% de Agave,Denver,US,2,11,00,22,22
100% de Agave,Denver,US,3,11,00,22,22
100% de Agave,Denver,US,4,11,00,23,23
100% de Agave,Denver,US,5,11,00,23,23
100% de Agave,Denver,US,6,11,00,22,22
100 Hoxton,London,GB,1,11,00,00,00
100 Hoxton,London,GB,2,11,00,00,00
100 Hoxton,London,GB,3,11,00,00,00
100 Hoxton,London,GB,4,11,00,00,00
100 Hoxton,London,GB,5,11,00,00,00
100 Hoxton,London,GB,6,11,00,00,00
11 Inch Pizza,Melbourne,AU,0,11,00,21,21
11 Inch Pizza,Melbourne,AU,1,11,00,21,21
11 Inch Pizza,Melbourne,AU,2,11,00,21,21
11 Inch Pizza,Melbourne,AU,3,11,00,21,21
11 Inch Pizza,Melbourne,AU,4,11,00,21,21
11 Inch Pizza,Melbourne,AU,5,16,30,21,21
11 Inch Pizza,Melbourne,AU,6,16,30,21,21
111 by Nico,Glasgow,GB,1,12,00,14,14
111 by Nico,Glasgow,GB,1,17,00,22,22
111 by Nico,Glasgow,GB,2,12,00,14,14
111 by Nico,Glasgow,GB,2,17,00,22,22
111 by Nico,Glasgow,GB,3,12,00,14,14
111 by Nico,Glasgow,GB,3,17,00,22,22
111 by Nico,Glasgow,GB,4,12,00,14,14
111 by Nico,Glasgow,GB,4,17,00,22,22
111 by Nico,Glasgow,GB,5,12,00,22,22
111 by Nico,Glasgow,GB,6,12,00,21,21
127 Bar and Bistro,Brisbane,AU,0,06,30,21,21
127 Bar and Bistro,Brisbane,AU,1,06,30,21,21
127 Bar and Bistro,Brisbane,AU,2,06,30,21,21
127 Bar and Bistro,Brisbane,AU,3,06,30,21,21
127 Bar and Bistro,Brisbane,AU,4,06,30,21,21
127 Bar and Bistro,Brisbane,AU,5,07,00,11,11
127 Bar and Bistro,Brisbane,AU,5,15,00,21,21
127 Bar and Bistro,Brisbane,AU,6,07,00,11,11
13 North Grille,Phoenix,US,0,11,00,21,21
13 North Grille,Phoenix,US,1,11,00,21,21
13 North Grille,Phoenix,US,2,11,00,21,21
13 North Grille,Phoenix,US,3,11,00,21,21
13 North Grille,Phoenix,US,4,11,00,22,22
13 North Grille,Phoenix,US,5,08,30,22,22
13 North Grille,Phoenix,US,6,08,30,21,21
13th Note,Glasgow,GB,0,12,00,00,00
13th Note,Glasgow,GB,1,12,00,00,00
13th Note,Glasgow,GB,2,12,00,00,00
13th Note,Glasgow,GB,3,12,00,00,00
13th Note,Glasgow,GB,4,12,00,00,00
13th Note,Glasgow,GB,5,12,00,00,00
13th Note,Glasgow,GB,6,12,00,00,00
1428 HAIGHT Patio Cafe & Crepery,San Francisco,US,0,08,00,22,22
