Job Family,Total Benefits,Total Compensation,Percent_Total_Benefit
Public Service Aide,5267.903670577323,14956.28023579977,0.35222017691056107
Park & Zoo,17946.662640692644,54776.31032467531,0.32763547844528945
Housekeeping & Laundry,24286.767749308685,74189.73939907821,0.3273601975964137
"Clerical, Secretarial & Steno",21549.04431145438,66517.54545431148,0.32396030497330436
Dietary & Food,19673.743313708997,61537.99346509685,0.31970076055319485
Library,21736.756160392797,68632.31500163667,0.31671314248797294
Computer Operatns & Repro Svcs,20184.3407401575,64309.35436220471,0.3138632153959246
Revenue,24789.58395973152,79388.09845637578,0.31225819035523994
Agriculture & Horticulture,25483.396273022765,81719.50934994587,0.31183981004946704
Semi-Skilled & General Labor,22693.172321995447,72889.10668027219,0.3113383241413421
Hospital Administration,26708.011426356603,86008.34917829471,0.31052812525201573
Recreation,5483.940170082879,17721.7028020061,0.30944769988254717
Museum & Cultural Affairs,21230.899174917493,68676.4887458746,0.30914363216032703
"Payroll, Billing & Accounting",25842.18977697237,84534.00555059928,0.3057017067705858
SF Redevelopment Agency,26276.221428571425,86100.20102040816,0.30518188247136874
SF Superior Court,29583.655316827535,97311.94230381864,0.30400847641560885
Street Transit,30333.252143164267,99986.89665161894,0.30337227335751227
Purchasing & Storekeeping,26648.438665207854,87904.81713347918,0.30315106195765695
Appraisal & Taxation,29159.09323870967,96818.03612903232,0.30117418618002606
Pub Relations & Spec Assts,23626.85004279601,78542.07677603427,0.30081774015434903
Med Therapy & Auxiliary,25925.10184881336,86394.50196894232,0.30007814453439513
Human Services,27410.023036841518,91815.76230460229,0.29853287005239604
Personnel,22858.582058940687,76606.44583034645,0.29838980011634497
Community Development,29071.209352000027,97753.80843200012,0.29739208955958635
"Budget, Admn & Stats Analysis",27918.238713313418,95053.8617333052,0.2937096736968379
Airport Operation,31652.25381333329,108701.63960666655,0.29118469535386926
Emergency Services,27349.52227848101,94442.40037974688,0.2895894446616173
Sub-Professional Engineering,13191.598021415304,45695.05526070767,0.2886876478461886
Energy & Environment,32166.17952580198,111963.35270571824,0.287292035728394
Skilled Labor,28778.65979222523,101070.39132037523,0.2847387787487829
Management,41734.75034680001,146873.9678691464,0.2841534885472864
Public Health,33381.21487359551,117760.24613764042,0.28346760446287544
Protection & Apprehension,20888.00614455318,73702.06014163712,0.283411428451411
Administrative Secretarial,28172.247500000005,99424.51550000001,0.2833531283338263
Health & Sanitation Inspection,36624.876836158204,129992.48246704323,0.2817461143989126
"Lab, Pharmacy & Med Techs",30608.894751574473,109507.3948670396,0.27951440894689183
Property Administration,32442.430657894736,116238.0561842105,0.27910334810211357
Construction Inspection,32847.57364548495,118385.610078038,0.2774625532937012
Professional Engineering,34432.673138083635,124532.07401167466,0.27649642400443464
Information Systems,33942.1418288334,123100.13988283245,0.27572789000191034
Port Operation,37943.271272727274,137771.2450909091,0.2754077692169378
Journeyman Trade,32772.06684738969,121396.04190763067,0.2699599289433646
Public Safety Inspection,36598.783197781886,135909.7639926063,0.2692873721697649
Probation & Parole,30484.40282522996,115121.3876478319,0.2648022530659973
Administrative-DPW/PUC,41308.83192090398,156398.4686440678,0.2641255523729888
Legal & Court,39277.958402649,148885.20187814557,0.2638137162536534
Supervisory-Labor & Trade,36564.244929920715,140066.63173065215,0.2610489341975017
N,14255.25,54927.75,0.2595272881193932
Construction Project Mgmt,39318.03434343432,152716.3584511784,0.2574579091735207
Administrative-Labor & Trades,40396.36547169812,163204.0308490566,0.24752063574373187
Nursing,23878.83717601889,99220.4794021892,0.24066440033237763
Medical & Dental,34798.4875425611,146173.35106587724,0.2380631441286323
Correction & Detention,32226.7920588235,135655.11320017563,0.23756415293590108
Administrative & Mgmt (Unrep),58060.54757575757,247806.65575757576,0.23429777298861992
Y,37228.34,171787.59,0.2167114632669333
Fire Services,38020.44790950241,182902.5862247359,0.20787266431971585
Police Services,31417.043731138372,152976.9840493827,0.20537104928801966
